"filename", "language", "TypeScript", "JSON with Comments", "TypeScript JSX", "CSS", "JSON", "Markdown", "JavaScript", "XML", "Properties", "comment", "blank", "total"
"e:\Workspace\ItBuild\studio-frontend\src\components\MenuSideBar\MenuSideBar.tsx", "TypeScript JSX", 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 8, 58
"e:\Workspace\ItBuild\studio-frontend\src\components\Modal\Modal.tsx", "TypeScript JSX", 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 2, 82
"e:\Workspace\ItBuild\studio-frontend\src\components\Table\Table.tsx", "TypeScript JSX", 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 2, 87
"e:\Workspace\ItBuild\studio-frontend\src\components\auth\AuthInput.tsx", "TypeScript JSX", 0, 0, 121, 0, 0, 0, 0, 0, 0, 4, 16, 141
"e:\Workspace\ItBuild\studio-frontend\src\components\auth\AuthSelect.tsx", "TypeScript JSX", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 6, 57
"e:\Workspace\ItBuild\studio-frontend\src\components\auth\AuthSelectMulti.tsx", "TypeScript JSX", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 5, 33
"e:\Workspace\ItBuild\studio-frontend\src\components\date\SingleCalendar.tsx", "TypeScript JSX", 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 6, 49
"e:\Workspace\ItBuild\studio-frontend\src\components\date\TimePickerCalendar.tsx", "TypeScript JSX", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 9, 45
"e:\Workspace\ItBuild\studio-frontend\src\components\dropdown\DropDown.tsx", "TypeScript JSX", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 7, 54
"e:\Workspace\ItBuild\studio-frontend\src\components\icons\index.tsx", "TypeScript JSX", 0, 0, 89, 0, 0, 0, 0, 0, 0, 1, 18, 108
"e:\Workspace\ItBuild\studio-frontend\src\components\loading\Loading.module.css", "CSS", 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 3, 45
"e:\Workspace\ItBuild\studio-frontend\src\components\loading\Loading.tsx", "TypeScript JSX", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 8, 21
"e:\Workspace\ItBuild\studio-frontend\src\components\template\auth.tsx", "TypeScript JSX", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 4, 27
"e:\Workspace\ItBuild\studio-frontend\src\components\template\default.tsx", "TypeScript JSX", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 9, 49
"e:\Workspace\ItBuild\studio-frontend\src\components\time\time.tsx", "TypeScript JSX", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 1, 23
"e:\Workspace\ItBuild\studio-frontend\src\data\context\AuthContext.tsx", "TypeScript JSX", 0, 0, 188, 0, 0, 0, 0, 0, 0, 7, 26, 221
"e:\Workspace\ItBuild\studio-frontend\src\data\hooks\useAuthData.tsx", "TypeScript JSX", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
"e:\Workspace\ItBuild\studio-frontend\src\data\hooks\useConvertDate.tsx", "TypeScript JSX", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"e:\Workspace\ItBuild\studio-frontend\src\data\hooks\useWindowSize.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 25
"e:\Workspace\ItBuild\studio-frontend\src\json\country.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 8
"e:\Workspace\ItBuild\studio-frontend\src\json\states.json", "JSON", 0, 0, 0, 0, 112, 0, 0, 0, 0, 0, 0, 112
"e:\Workspace\ItBuild\studio-frontend\src\model\Dropdown.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"e:\Workspace\ItBuild\studio-frontend\src\model\Select.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"e:\Workspace\ItBuild\studio-frontend\src\model\User.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"e:\Workspace\ItBuild\studio-frontend\src\styles\administrative.module.css", "CSS", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 3, 16
"e:\Workspace\ItBuild\studio-frontend\src\styles\card.module.css", "CSS", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 4, 30
"e:\Workspace\ItBuild\studio-frontend\src\styles\class.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Workspace\ItBuild\studio-frontend\src\styles\dashboard.module.css", "CSS", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 5, 20
"e:\Workspace\ItBuild\studio-frontend\src\styles\dropdown.module.css", "CSS", 0, 0, 0, 36, 0, 0, 0, 0, 0, 1, 6, 43
"e:\Workspace\ItBuild\studio-frontend\src\styles\financial.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Workspace\ItBuild\studio-frontend\src\styles\header.module.css", "CSS", 0, 0, 0, 84, 0, 0, 0, 0, 0, 0, 16, 100
"e:\Workspace\ItBuild\studio-frontend\src\styles\login.module.css", "CSS", 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 8, 57
"e:\Workspace\ItBuild\studio-frontend\src\styles\menu.module.css", "CSS", 0, 0, 0, 88, 0, 0, 0, 0, 0, 0, 15, 103
"e:\Workspace\ItBuild\studio-frontend\src\styles\modal.module.css", "CSS", 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 10, 75
"e:\Workspace\ItBuild\studio-frontend\src\styles\notfound.module.css", "CSS", 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 8, 69
"e:\Workspace\ItBuild\studio-frontend\src\styles\products.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Workspace\ItBuild\studio-frontend\src\styles\students.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Workspace\ItBuild\studio-frontend\src\styles\table.module.css", "CSS", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 7, 42
"e:\Workspace\ItBuild\studio-frontend\src\styles\teachers.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Workspace\ItBuild\studio-frontend\src\types\auth.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"e:\Workspace\ItBuild\studio-frontend\src\types\btn.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"e:\Workspace\ItBuild\studio-frontend\src\types\class.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"e:\Workspace\ItBuild\studio-frontend\src\types\financial.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Workspace\ItBuild\studio-frontend\src\types\persons.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25
"e:\Workspace\ItBuild\studio-frontend\src\types\table.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"e:\Workspace\ItBuild\studio-frontend\src\utils\actionTable.tsx", "TypeScript JSX", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 4, 24
"e:\Workspace\ItBuild\studio-frontend\src\utils\formatterText.tsx", "TypeScript JSX", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"e:\Workspace\ItBuild\studio-frontend\src\utils\getDatesOfWeek.tsx", "TypeScript JSX", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 3, 15
"e:\Workspace\ItBuild\studio-frontend\src\utils\searchCEP.tsx", "TypeScript JSX", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 4, 42
"e:\Workspace\ItBuild\studio-frontend\tailwind.config.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 21
"e:\Workspace\ItBuild\studio-frontend\tsconfig.json", "JSON with Comments", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"Total", "-", 978, 26, 6321, 871, 9970, 23, 10, 11, 6, 302, 1006, 19524
